geo_id,zipcode,population
8600000US97404,97404,32255
8600000US30019,30019,40447
8600000US15464,15464,1536
8600000US22663,22663,1536
8600000US12979,12979,2304
8600000US32195,32195,3328
8600000US55120,55120,4352
8600000US46239,46239,25345
8600000US48761,48761,1026
8600000US14305,14305,16898
8600000US85339,85339,35586
8600000US61930,61930,515
8600000US56548,56548,771
8600000US71862,71862,771
8600000US01434,1434,1795
8600000US35404,35404,21251
8600000US35136,35136,1796
8600000US51246,51246,3844
8600000US08016,8016,33540
8600000US68621,68621,517
8600000US51019,51019,773
8600000US84523,84523,1797
8600000US71101,71101,8197
8600000US11224,11224,47621
8600000US58626,58626,262
8600000US79236,79236,262
8600000US51443,51443,1798
8600000US60171,60171,10246
8600000US28787,28787,19718
8600000US97227,97227,3847
8600000US77547,77547,9735
8600000US71219,71219,1288
8600000US24482,24482,4872
8600000US97205,97205,7688
8600000US29016,29016,16393
8600000US55129,55129,18697
8600000US40312,40312,5898
8600000US71223,71223,523
8600000US72501,72501,25099
8600000US84730,84730,268
8600000US31550,31550,780
8600000US50626,50626,1804
8600000US62097,62097,2828
8600000US10591,10591,22540
8600000US33844,33844,33804
8600000US30041,30041,52749
8600000US89830,89830,270
8600000US38943,38943,526
8600000US31567,31567,782
8600000US56465,56465,2062
8600000US57212,57212,2062
8600000US78832,78832,3598
8600000US32221,32221,27918
8600000US97301,97301,53518
8600000US61042,61042,527
8600000US79261,79261,527
8600000US41124,41124,1039
8600000US71073,71073,2319
8600000US30720,30720,26895
8600000US02125,2125,33295
8600000US59061,59061,272
8600000US02833,2833,784
8600000US48079,48079,12304
8600000US14884,14884,273
8600000US83466,83466,273
8600000US15563,15563,3345
8600000US97146,97146,5905
8600000US23509,23509,12817
8600000US24317,24317,3858
8600000US54548,54548,4626
8600000US21205,21205,16146
8600000US33514,33514,1811
8600000US95570,95570,2579
8600000US75561,75561,5395
8600000US32837,32837,51219
8600000US81126,81126,276
8600000US02356,2356,12564
